TC,TC_Description,TC_Main_Category,TC_Sub_Category
KP90,Delete Planned Costs,CO,Cost Center Accounting
KP91,Delete Planned Costs,CO,Cost Center Accounting
KP95,Revaluate Manual Planning,CO,Cost Center Accounting
KP96,Activate L. Items and Int. Planning,CO,Cost Center Accounting
KP97,Copy Planning for Cost Centers,CO,Cost Center Accounting
KP98,Copy Actual to Plan for Cost Centers,CO,Cost Center Accounting
KP9R,Copy CO Resource Prices,CO,Cost Center Accounting
KP9S,Revaluate CO Resource Prices,CO,Overhead Cost Controlling
KPA6,Change Primary Cost Element Planning,CO,Cost Center Accounting
KPA7,Display Primary Cost Elem. Planning,CO,Cost Center Accounting
KPAS,Actl. Templ.-Alloc.: CCTR/Acty Type,CO,Activity Types
KPEP,Log: Flexible Excel Upload,CO,Cost Center Accounting
KPEU,Flexible Upload for Excel Planning,CO,Cost Center Accounting
KPF6,Change CElem/Activity Input Planning,CO,Cost Center Accounting
KPF7,Display CElem./Acty Input Planning,CO,Cost Center Accounting
KPG5,Create Cost Planning Layout,CO,Cost Center Accounting
KPG6,Change Cost Planning Layout,CO,Cost Center Accounting
KPG7,Display Cost Planning Layout,CO,Cost Center Accounting
KPH1,Create Distribution Key,CO,Cost Center Accounting
KPH2,Change Distribution Key,CO,Cost Center Accounting
KPH3,Display Distribution Key,CO,Cost Center Accounting
KPH4,Delete Distribution Key,CO,Cost Center Accounting
KPHR,Transfer HR Costs to CO,CO,Cost Center Accounting
KPPS,Allocation Templ. Plan: CCtr/ATyp,CO,Cost Center Accounting
KPR1,Callup View Maintenance With COArea,CO,Overhead Cost Controlling
KPRN,Copy Resource Planning,CO,Overhead Cost Controlling
KPRO,KPRO Administration,Basis,Content Management Service
KPRW,Evaluate resources used,CO,Overhead Cost Controlling
KPSI,CO-CCA Plan Reconciliation,CO,Cost Center Accounting
KPSR,Execute Plan Segment Reversal,CO,Cost Center Accounting
KPU1,Create Plan Revaluation,CO,Cost Center Accounting
KPU2,Change Plan Revaluation,CO,Cost Center Accounting
KPU3,Display Plan Revaluation,CO,Cost Center Accounting
KPZ2,Change Cost Center Budget,CO,Cost Center Accounting
KPZ3,Display Cost Center Budget,CO,Cost Center Accounting
KR01,Create Summarization,CO,Cost Center Accounting
KR04,Delete Summarization,CO,Cost Center Accounting
KRMI,Run Sched. Header: Line Items Actual,CO,Overhead Cost Controlling
KS01,Create cost center,CO,Overhead Cost Controlling
KS02,Change cost center,CO,Overhead Cost Controlling
KS03,Display Cost Center,CO,Overhead Cost Controlling
KS04,Delete cost center,CO,Overhead Cost Controlling
KS05,Cost Center: Display Changes,CO,Overhead Cost Controlling
KS07,Execute rough entry of cost center,CO,Overhead Cost Controlling
KS08,Execute list editing of cost center,CO,Overhead Cost Controlling
KS12,Change Cost Centers,CO,Overhead Cost Controlling
KS13,Cost Centers: Master Data Report,CO,Overhead Cost Controlling
KS14,Delete Cost Centers,CO,Overhead Cost Controlling
KS30,Cost Centers: Change Management,CO,Overhead Cost Controlling
KSA3,Actual Accrual for Cost Centers,CO,Overhead Cost Controlling
KSA8,Plan Accrual for Cost Centers,CO,Overhead Cost Controlling
KSAI,Accrual Calc.: Maintain Actual Data,CO,Cost Center Accounting
KSAP,Accrual Calc.: Maintain Plan Data,CO,Cost Center Accounting
KSAZ,Accrual: Maintain Overhead Structure,CO,Cost Center Accounting
KSB1,Cost Centers: Actual Line Items,CO,Overhead Cost Controlling
KSB2,Cost Centers: Commitment Line Items,CO,Overhead Cost Orders
KSB5,Controlling Documents: Actual,CO,Overhead Cost Controlling
KSB9,Planning Report: Cost Centers,CO,Overhead Cost Controlling
KSBB,Run Selected Reports,CO,Product Cost Controlling Information System
KSBL,Cost centers: Planning overview,CO,Overhead Cost Controlling
KSBP,Cost Centers: Plan Line Items,CO,Overhead Cost Controlling
KSBT,Cost centers: Activity prices,CO,Overhead Cost Controlling
KSC1,Create Actual Indirect Acty Alloc.,CO,Cost Center Accounting
KSC1N,Create Actual Indirect Acty Alloc.,CO,Cost Center Accounting
KSC2,Change Actual Indirect Acty Alloc.,CO,Cost Center Accounting
KSC3,Display Actual Indirect Acty Alloc.,CO,Cost Center Accounting
KSC5,Execute Actual Indirect Acty Alloc.,CO,Cost Center Accounting
KSC7,Create Indirect Activity Alloc. Plan,CO,Cost Center Accounting
KSC8,Change Indirect Activity Alloc. Plan,CO,Cost Center Accounting
KSC8N,Change Indirect Activity Alloc. Plan,CO,Cost Center Accounting
KSCB,Execute Plan Indirect Acty Alloc.,CO,Cost Center Accounting
KSCC,Indirect Acty Alloc. Plan: Overview,CO,Cost Center Accounting
KSCF,Carry Forward Cost Center Commitment,CO,Overhead Cost Orders
KSFX,Predistribute fixed costs: cctr,CO,Activity Types
KSH1,Create Cost Center Group,CO,Overhead Cost Controlling
KSH2,Change Cost Center Group,CO,Overhead Cost Controlling
KSH3,Display Cost Center Group,CO,Overhead Cost Controlling
KSI4,Actual Overhead: Cost Centers,CO,Overhead Cost Controlling
KSII,Actual Price Determination: CCtrs,CO,Controlling
KSMN,Actual Menu,CO,Overhead Cost Controlling
KSO9,Commitment Overhead: Cost Centers,CO,Overhead Cost Controlling
KSOP,CO-OM-ABC: Transfer SOP/LTP,CO,Activity-Based Costing
KSOV,Cycle Maintenance/Overview (CCA;ABC),CO,Cost Center Accounting
KSP4,Plan Overhead: Cost Centers,CO,Overhead Cost Controlling
KSPI,Iterative Plan Price Calculation,CO,Cost Center Accounting
KSPP,Transfer Planning From Logistics,CO,Cost Center Accounting
KSPU,Execute Plan Revaluation,CO,Cost Center Accounting
KSR4,User-Defined Strategies,CO,Overhead Cost Orders
KSS1,Variance Calculation: Cost Centers,CO,Activity Types
KSS2,Actual Cost Splitting: Cost Centers,CO,Activity Types
KSS4,Split Plan Costs,CO,Activity Types
KSU1,Create Actual Assessment,CO,Cost Center Accounting
KSU1N,Create Actual Assessment,CO,Cost Center Accounting
KSU2,Change Actual Assessment,CO,Cost Center Accounting
KSU3,Display Actual Assessment,CO,Cost Center Accounting
KSU4,Delete Actual Assessment,CO,Cost Center Accounting
KSU5,Execute Actual Assessment,CO,Cost Center Accounting
KSU6,Actual Assessment: Overview,CO,Cost Center Accounting
KSU6N,Actual Assessment: Overview,CO,Cost Center Accounting
KSU7,Create Plan Assessment,CO,Cost Center Accounting
KSU8,Change Plan Assessment,CO,Cost Center Accounting
KSU9,Display Plan Assessment,CO,Cost Center Accounting
KSUA,Delete Plan Assessment,CO,Cost Center Accounting
KSUB,Execute Plan Assessment,CO,Cost Center Accounting
KSUC,Plan Assessment: Overview,CO,Cost Center Accounting
KSV1,Create Actual Distribution,CO,Cost Center Accounting
KSV2,Change Actual Distribution,CO,Cost Center Accounting
KSV3,Display Actual Distribution,CO,Cost Center Accounting
KSV5,Execute Actual Distribution,CO,Cost Center Accounting
KSV6,Actual Distribution: Overview,CO,Cost Center Accounting
KSV6N,Actual Distribution: Overview,CO,Cost Center Accounting
KSV7,Create Plan Distribution,CO,Cost Center Accounting
KSV8,Change Plan Distribution,CO,Cost Center Accounting
KSV9,Display Plan Distribution,CO,Cost Center Accounting
KSVA,Delete Plan Distribution,CO,Cost Center Accounting
KSVB,Execute Plan Distribution,CO,Cost Center Accounting
KSVC,Plan Distribution: Overview,CO,Cost Center Accounting
KSW1,Create Periodic Reposting,CO,Cost Center Accounting
KSW2,Change Periodic Reposting,CO,Cost Center Accounting
KSW3,Display Periodic Reposting,CO,Cost Center Accounting
KSW5,Execute Actual Periodic Reposting,CO,Cost Center Accounting
KSW7,Create Plan Periodic Reposting,CO,Cost Center Accounting
KSWA,Delete Plan Periodic Reposting,CO,Cost Center Accounting
KSWB,Execute Plan Periodic Reposting,CO,Cost Center Accounting
KVA0,Maintain Assignment Cost Ctr./KF,CO,Activity-Based Costing
KVA1,Display Plan Assignment CCtr/KF,CO,Activity-Based Costing
KVA2,Maintain Actual Assignment CCtr/KF,CO,Activity-Based Costing
KVA3,Display Actual Assignment CCtr/KF,CO,Activity-Based Costing
KVA4,Transfer Plan Statistical Key Figure,CO,Cost Center Accounting
KVA5,Transfer Actual Stat. Key Figure,CO,Controlling
KVB1,Display Plan Assignment Process/KF,CO,Activity-Based Costing
KVB2,Change Actual Assignment Process/KF,CO,Activity-Based Costing
KVBI,Sales Documents: Line Items Actual,CO,Product Cost Controlling Information System
KVBO,Sales Documents: Commit. Line Items,CO,Overhead Cost Controlling
KVD1,Display Plan Assignment ATyp/KF,CO,Activity-Based Costing
KVD2,Change Actual Assignment ATyp/KF,CO,Activity-Based Costing
KVD4,LSTAR: Copy Plan Stat. Key Figures,CO,Activity-Based Costing
KVD5,LSTAR: Copy Actual Stat. Key Figures,CO,Activity-Based Costing
KW3P,WWW: Internal Price List,CO,Overhead Cost Controlling
KXH1,Create Group (Hierarchical),CO,Overhead Cost Controlling
KXH2,Change Group (Hierarchical),CO,Overhead Cost Controlling
KXH3,Display Hierarchy (Hierarchical),CO,Overhead Cost Controlling
KZA1,Select Overhead,CO,Overhead Cost Orders
LAS2,Change Sequence Schedule,PP,Sequencing
LAS3,Display Sequence Schedule,PP,Sequencing
LAST_SHORTDUMP,Display Last Short Dump,Basis,Syntax; Compiler; Runtime
LB01,Create Transfer Requirement,Logistics Execution,Warehouse Management
LB02,Change transfer requirement,Logistics Execution,Warehouse Management
LB03,Display Transfer Requirement,Logistics Execution,Warehouse Management
LB10,TRs for Storage Type,Logistics Execution,Warehouse Management
LB11,TRs for Material,Logistics Execution,Warehouse Management
LB12,TRs and Posting Change for Mat.Doc.,Logistics Execution,Warehouse Management
LB13,TRs for Requirement,Logistics Execution,Warehouse Management
LBW0,Interface LIS Information Structures,Logistics,Logistics Information System (LIS)
LBW1,Update Activation LIS/BW,Logistics,Logistics Information System (LIS)
LBW2,Version Copier LIS/BW,Logistics,Logistics Information System (LIS)
LBWE,LO Data Ext.: Customizing Cockpit,Logistics,Logistics Information System (LIS)
LBWF,Log for Logistics Extract. Structure,Logistics,Logistics Information System (LIS)
LBWG,Delete Newly Reorg. BW Data,Logistics,Logistics Information System (LIS)
LC10,liveCache Assistant,Basis,liveCache
LC11,Creating the liveCache connection,Basis,liveCache
LCO1,Set Up Warehouse Co/Material Docs.,Logistics,Logistics Information System (LIS)
LCO2,Set Up Warehouse Co/Transport Orders,Logistics,Logistics Information System (LIS)
LD00,Line Design,PP,Flow Manufacturing
LDAP,LDAP Customizing and Test,Basis,Directory
LDB1,Create Line Hierarchy,PP,Flow Manufacturing
LDB2,Change Line Hierarchy,PP,Flow Manufacturing
LDB3,Display Line Hierarchy,PP,Flow Manufacturing
LDD1,Create Line Balance,PP,Flow Manufacturing
LDD2,Change Line Balance,PP,Flow Manufacturing
LDE1,Work Instruction for Routing,PP,Flow Manufacturing
LEAN,Request long-term VendDecl. (vendor),SD,Basic Functions
LECI,Register Means of Transport/Visitor,Logistics Execution,Basic Functions
LECIW,Register Means of Transport/Visitor,Logistics Execution,Basic Functions
LEER,Create long-term VenDecl. (customer),SD,Basic Functions
LEMA,Dun long-term vendor decl. (vendor),SD,Basic Functions
LEPS,Display Determination Log,Logistics Execution,Shipping
LH01,Assign Pick-HU to TO,Logistics Execution,Warehouse Management
LH03,Assign Pick-HU to TO Display,Logistics Execution,Warehouse Management
LI01,Create System Inventory Record,Logistics Execution,Warehouse Management
LI01N,Create System Inventory Record,Logistics Execution,Warehouse Management
LI02,Change System Inventory Record,Logistics Execution,Warehouse Management
LI02N,Change System Inventory Record,Logistics Execution,Warehouse Management
LI03,Display System Inventory Record,Logistics Execution,Warehouse Management
LI03N,Display System Inventory Record,Logistics Execution,Warehouse Management
LI04,Print System Inventory Record,Logistics Execution,Warehouse Management
LI05,Inventory History for Storage Bin,Logistics Execution,Warehouse Management
LI11,Enter Inventory Count,Logistics Execution,Warehouse Management
LI11N,Enter Inventory Count,Logistics Execution,Warehouse Management
LI12,Change inventory count,Logistics Execution,Warehouse Management
LI12N,Change inventory count,Logistics Execution,Warehouse Management
LI13,Display Inventory Count,Logistics Execution,Warehouse Management
LI13N,Display Inventory Count,Logistics Execution,Warehouse Management
LI14,Start Inventory Recount,Logistics Execution,Warehouse Management
LI15,Evaluation of quant inventory,Logistics Execution,Warehouse Management
LI16,Cancel Physical Inventory Doc. Item,Logistics Execution,Warehouse Management
LI20,Clear Inventory Differences WM,Logistics Execution,Warehouse Management
LI21,Clear Inventory Differences in MM-IM,Logistics Execution,Warehouse Management
LICC,Cycle Counting per Quant,Logistics Execution,Warehouse Management
LISK,LIS: Data Collection in R/2,Logistics,Logistics Information System (LIS)
LISTCUBE,List viewer for InfoCubes,BW,Data Basis
LK01,Create consumer,Logistics,Customer Master
LK02,Change consumer,Logistics,Customer Master
LK03,Display consumer,Logistics,Customer Master
LL01,Warehouse Activity Monitor,Logistics Execution,Warehouse Management
LLDEL,Delete application logs,Logistics Execution,Task & Resource Management
LLVS,WM Menu,Logistics Execution,Warehouse Management
LM00,Logon RF,Logistics Execution,Mobile data entry
LM01,Dynamic Menu,Logistics Execution,Mobile data entry
LM02,Select by SU -Put Away,Logistics Execution,Mobile data entry
LM03,Put Away - by TO,Logistics Execution,Mobile data entry
LM04,Put Away -System Guided,Logistics Execution,Mobile data entry
LM05,Picking by TO ID,Logistics Execution,Mobile data entry
LM06,Picking - by Delivery ID,Logistics Execution,Mobile data entry
LM07,Picking - System Guided,Logistics Execution,Mobile data entry
LM09,Put Away by Delivery ID,Logistics Execution,Mobile data entry
LM11,Posting Changes,Logistics Execution,Mobile data entry
LM12,Material Inquiry,Logistics Execution,Mobile data entry
LM13,Put Away Clustered,Logistics Execution,Mobile data entry
LM18,Handling Unit Inquiry,Logistics Execution,Mobile data entry
LM19,Handling Unit - Pack,Logistics Execution,Mobile data entry
LM22,Handling Unit - Unpack,Logistics Execution,Mobile data entry
LM24,Packing HU by Delivery,Logistics Execution,Mobile data entry
LM25,Unpack HU by Delivery,Logistics Execution,Mobile data entry
LM26,Picking by Delivery - W/O sel scree,Logistics Execution,Mobile data entry
LM27,Put Away by Delivery - W/O sel scree,Logistics Execution,Mobile data entry
LM30,Load Control - Load by Shipment,Logistics Execution,Mobile data entry
LM31,Load Control - Load by Delivery,Logistics Execution,Mobile data entry
LM32,Load Control - System Guide Load,Logistics Execution,Mobile data entry
LM33,Load Control - UnLd by Shipment.,Logistics Execution,Mobile data entry
LM34,Load Control - UnLd by Delivery,Logistics Execution,Mobile data entry
LM35,Load Control - Detail by Shipping Un,Logistics Execution,Mobile data entry
LM36,Load Control - Detail by Delivery,Logistics Execution,Mobile data entry
LM37,Load Control - Detail by Shipment,Logistics Execution,Mobile data entry
LM45,Pick and Pack,Logistics Execution,Mobile data entry
LM46,Pick and Pack by Delivery,Logistics Execution,Mobile data entry
LM50,Count Inventory By System Guided,Logistics Execution,Mobile data entry
LM51,Count Inventory By User Selection,Logistics Execution,Mobile data entry
LM55,Print Storage Bin Labels,Logistics Execution,Mobile data entry
LM56,Select by SU - Interleaving,Logistics Execution,Mobile data entry
LM57,System Guided Putaway - Interleaving,Logistics Execution,Mobile data entry
LM58,Sys. guided dynamic inventory count,Logistics Execution,Dynamic Cycle Counting
LM59,User initiated dynamic invent. count,Logistics Execution,Dynamic Cycle Counting
LM60,User guided dynamic invent. count,Logistics Execution,Dynamic Cycle Counting
LM61,Goods Issue by Delivery,Logistics Execution,Mobile data entry
LM62,Goods Issue by MS area,Logistics Execution,Mobile data entry
LM63,Goods Issue by Shipment,Logistics Execution,Mobile data entry
LM64,Goods Issue by ALL,Logistics Execution,Mobile data entry
LM65,Goods Issue by Group,Logistics Execution,Mobile data entry
LM66,Goods Issue by HU,Logistics Execution,Mobile data entry
LM71,Goods Receipt by Delivery,Logistics Execution,Mobile data entry
LM72,Goods Receipt by MS area,Logistics Execution,Mobile data entry
LM73,Goods Receipt by Shipment,Logistics Execution,Mobile data entry
LM74,Goods Receipt by ALL,Logistics Execution,Mobile data entry
LM76,Goods Receipt by HU,Logistics Execution,Mobile data entry
LM77,Queue Assignment,Logistics Execution,Mobile data entry
LM80,Serial number capture,Logistics Execution,Mobile data entry
LN01,Number Ranges for Transfer Requirem.,Logistics Execution,Warehouse Management
LN02,Number Ranges for Transfer Orders,Logistics Execution,Warehouse Management
LN03,Number Ranges for Quants,Logistics Execution,Warehouse Management
LN04,Number Ranges for Posting Changes,Logistics Execution,Warehouse Management
LN05,Number ranges physical inventory,Logistics Execution,Warehouse Management
LN06,Number Ranges for Group Number,Logistics Execution,Warehouse Management
